latitude;longitude;country
-17.679.742;-149.406.843;French Polynesia
-6.314.993;14.395.555;Papua New Guinea
12.879.721;121.774.017;Philippines
30.375.321;69.345.116;Pakistan
51.919.438;19.145.136;Poland
46.941.936;-5.627.111;Saint Pierre and Miquelon
-24.703.615;-127.439.308;Pitcairn Islands
18.220.833;-66.590.149;Puerto Rico
31.952.162;35.233.154;Palestinian Territories
39.399.872;-8.224.454;Portugal
751.498;13.458.252;Palau
-23.442.503;-58.443.832;Paraguay
25.354.826;51.183.884;Qatar
-21.115.141;55.536.384;Réunion
45.943.161;2.496.676;Romania
44.016.521;21.005.859;Serbia
6.152.401;105.318.756;Russia
-1.940.278;29.873.888;Rwanda
23.885.942;45.079.162;Saudi Arabia
-964.571;160.156.194;Solomon Islands
-4.679.574;55.491.977;Seychelles
12.862.807;30.217.636;Sudan
60.128.161;18.643.501;Sweden
1.352.083;103.819.836;Singapore
-24.143.474;-10.030.696;Saint Helena
46.151.241;14.995.463;Slovenia
77.553.604;23.670.272;Svalbard and Jan Mayen
48.669.026;19.699.024;Slovakia
8.460.555;-11.779.889;Sierra Leone
4.394.236;12.457.777;San Marino
14.497.401;-14.452.362;Senegal
5.152.149;46.199.616;Somalia
3.919.305;-56.027.783;Suriname
0.18636;6.613.081;São Tomé and Príncipe
13.794.185;-8.889.653;El Salvador
34.802.075;38.996.815;Syria
-26.522.503;31.465.866;Swaziland
21.694.025;-71.797.928;Turks and Caicos Islands
15.454.166;18.732.207;Chad
-49.280.366;69.348.557;French Southern Territories
8.619.543;0.824782;Togo
15.870.032;100.992.541;Thailand
38.861.034;71.276.093;Tajikistan
-8.967.363;-171.855.881;Tokelau
-8.874.217;125.727.539;Timor-Leste
38.969.719;59.556.278;Turkmenistan
33.886.917;9.537.499;Tunisia
-21.178.986;-175.198.242;Tonga
38.963.745;35.243.322;Turkey
10.691.803;-61.222.503;Trinidad and Tobago
-7.109.535;17.764.933;Tuvalu
2.369.781;120.960.515;Taiwan
-6.369.028;34.888.822;Tanzania
48.379.433;3.116.558;Ukraine
1.373.333;32.290.275;Uganda
;;U.S. Minor Outlying Islands
3.709.024;-95.712.891;United States
-32.522.779;-55.765.835;Uruguay
41.377.491;64.585.262;Uzbekistan
41.902.916;12.453.389;Vatican City
12.984.305;-61.287.228;Saint Vincent and the Grenadines
642.375;-6.658.973;Venezuela
18.420.695;-64.639.968;British Virgin Islands
18.335.765;-64.896.335;U.S. Virgin Islands
14.058.324;108.277.199;Vietnam
-15.376.706;166.959.158;Vanuatu
-13.768.752;-177.156.097;Wallis and Futuna
-13.759.029;-172.104.629;Samoa
42.602.636;20.902.977;Kosovo
15.552.727;48.516.388;Yemen
-128.275;45.166.244;Mayotte
-30.559.482;22.937.506;South Africa
-13.133.897;27.849.332;Zambia
-19.015.438;29.154.857;Zimbabwe
